Date	Time	Artist(s)	Instruments/Details	Ticketed	Sabha	Hall
19-Dec-2025	6:30 PM	Rithvik Raja		Ticketed	Mudhra	Mudhra
20-Dec-2025	9:00 AM	Rithvik Raja		Free	The Music Academy Madras	Main Hall
22-Dec-2025	3:00 PM	Rithvik Raja		Ticketed	Beachville Coffee Roasters	Beachville Coffee Roasters
24-Dec-2025	10:00 AM	Rithvik Raja		Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
26-Dec-2025	4:00 PM	Rithvik Raja		Ticketed	The Mylapore Fine Arts Club	The Mylapore Fine Arts Club
27-Dec-2025	7:00 PM	Rithvik Raja		Free	Maha Periyava Temple	Maha Periyava Temple
29-Dec-2025	7:00 PM	Rithvik Raja		Ticketed	Narada Gana Sabha	Narada Gana Sabha
31-Dec-2025	6:00 PM	Rithvik Raja		Ticketed	Kutty Kutcheri Festival	Medai
15-Dec-2025	4:00 PM	P G Kallidoss		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
15-Dec-2025	6:30 PM	Malladi Suribabu		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
16-Dec-2025	4:00 PM	K P Nandini		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
16-Dec-2025	6:30 PM	Abhishek Raghuram		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
17-Dec-2025	4:00 PM	Vidya Kalyanaraman		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
17-Dec-2025	6:30 PM	R K Shriramkumar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
18-Dec-2025	4:00 PM	Anahita Apoorva		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
18-Dec-2025	6:30 PM	A S Murali		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	10:00 AM	Dushyanth Sridhar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	4:00 PM	D B Ashwin		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	6:30 PM	Sikkil Gurucharan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
20-Dec-2025	10:00 AM	Dr. Gayathri Girish		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
20-Dec-2025	4:00 PM	Dr. Baby Sreeram		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
20-Dec-2025	6:30 PM	Sruti Sagar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
21-Dec-2025	10:00 AM	Sivasri Skandaraprasad		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
21-Dec-2025	4:00 PM	Aravind Soundararajan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
21-Dec-2025	6:30 PM	Charumathi Raghuraman		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
