Date,Time,Artist(s),Instruments/Details,Venue,Source
2025-12-03,17:30,Vidwan Dr.K.T.Udaya Kiran,"Carnatic Vocal. Performing Team: Vidwan Dr.K.T.Udaya Kiran (Carnatic Vocal), Vidushi Shreya Devnath (Violin), Vidwan Erode Nagaraj (Mrudangam), Vidwan Nerkunam Dr.S.Shankar (Kanjira), Vidwan Nerkunam Manikandan (Morsing)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-03,19:00,Keralasree Dr.Vaikom Vijayalakshmi,"Carnatic Vocal & Gayatri Veena. Performing Team: Keralasree Dr. Vaikom Vijayalakshmi (Carnatic Vocal & Gayatri Veena), Vidushi Gayatri Sivani (Violin), Vidwan Valangaiman Thiagarajan (Mrudangam), Vidwan Trichy Dr.K.Murali (Ghatam), Vidwan N.V.Thirumurugan (Morsing)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-04,10:00,Mandolin U.P. Raju & U. Nagamani,"Mandolin Duet. Performing Team: Mandolin U.P. Raju & U. Nagamani (Mandolin Duet), Vidushi B. Ananthalakshmi (Violin), Vidwan K. Arun Prakash (Mrudangam), Vidwan R. Raman (Ghatam)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-04,14:00,S.S.P.Ramanujam,"Carnatic Vocal. Performing Team: S.S.P.Ramanujam (Carnatic Vocal), Vidushi Charumathi Raghuraman (Violin), Vidwan P.G. Lakshminarayanan (Mrudangam), Vidwan S. Krishnaswamy (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-05,17:30,Amrutha Venkatesh,"Carnatic Vocal. Performing Team: Amrutha Venkatesh (Carnatic Vocal), Vidushi R. Hemalatha (Violin), Vidwan N.C. Bharadwaj (Mrudangam), Vidwan Anirudh Athreya (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-05,19:00,Nisha P. Rajagopal,"Carnatic Vocal. Performing Team: Nisha P. Rajagopal (Carnatic Vocal), Vidushi V. Sanjeevana (Violin), Vidwan K.V. Prasad (Mrudangam), Vidwan B. S. Purushotham (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-06,10:00,Rithvik Raja,"Carnatic Vocal. Performing Team: Rithvik Raja (Carnatic Vocal), Vidushi V.V.S. Murari (Violin), Vidwan N. C. Bhardwaj (Mrudangam), Vidwan H. Sivaramakrishnan (Ghatam)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-06,14:00,Vishnu Dev Namboodiri,"Carnatic Vocal. Performing Team: Vishnu Dev Namboodiri (Carnatic Vocal), Vidushi V.V.S. Murari (Violin), Vidwan N. C. Bhardwaj (Mrudangam), Vidwan H. Sivaramakrishnan (Ghatam)",K.K. Nagar Sivan Temple,RCMCCENT
2025-12-07,17:30,Ashwath Narayanan,"Carnatic Vocal. Performing Team: Ashwath Narayanan (Carnatic Vocal), Vidushi V. Sanjeevana (Violin), Vidwan N. Manoj Siva (Mrudangam), Vidwan B. S. Purushotham (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-07,19:00,Saketharaman,"Carnatic Vocal. Performing Team: Saketharaman (Carnatic Vocal), Vidushi Vittal Rangan (Violin), Vidwan N.C. Bharadwaj (Mrudangam), Vidwan Anirudh Athreya (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-08,10:00,Gayatri Venkataraghavan,"Carnatic Vocal. Performing Team: Gayatri Venkataraghavan (Carnatic Vocal), Vidushi M.A. Krishnaswamy (Violin), Vidwan Delhi S. Sairam (Mrudangam), Vidwan Nerkunam S. Shankar (Kanjira)",Anna Salai Sangam,RCMCCENT
2025-12-08,14:00,S. Sowmya,"Carnatic Vocal. Performing Team: S. Sowmya (Carnatic Vocal), Vidushi Vittal Rangan (Violin), Vidwan N.C. Bharadwaj (Mrudangam), Vidwan Anirudh Athreya (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-09,17:30,V. Subrahmaniam,"Carnatic Vocal. Performing Team: V. Subrahmaniam (Carnatic Vocal), Vidushi Vittal Rangan (Violin), Vidwan N.C. Bharadwaj (Mrudangam), Vidwan Anirudh Athreya (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-09,19:00,S. Saketharaman,"Carnatic Vocal. Performing Team: S. Saketharaman (Carnatic Vocal), Vidushi Vittal Rangan (Violin), Vidwan N.C. Bharadwaj (Mrudangam), Vidwan Anirudh Athreya (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-10,10:00,O.S. Arun,"Carnatic Vocal. Performing Team: O.S. Arun (Carnatic Vocal), Vidushi V. Sanjeevana (Violin), Vidwan N. Manoj Siva (Mrudangam), Vidwan B. S. Purushotham (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
2025-12-10,14:00,Abhishek Raghuram,"Carnatic Vocal. Performing Team: Abhishek Raghuram (Carnatic Vocal), Vidushi Vittal Rangan (Violin), Vidwan N.C. Bharadwaj (Mrudangam), Vidwan Anirudh Athreya (Kanjira)","Kasturi Srinivasan Hall, The Music Academy",RCMCCENT
