Date,Time,Artist(s),Instruments/Details,Venue
2026-01-03,18:00,Rama Vaidyanathan,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-03,19:45,Urmila Sathyanarayanan,Natya Sankalpaa - Bharatanatyam - Group - 'Karunya Kavya' Legend behind poetic masterpieces,T.T. Krishnamachari Auditorium
2026-01-04,09:30,Pritam Das,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-04,11:00,Apoorva Jayaraman,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-04,12:30,Anwesha Das,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-04,18:00,Navia Natarajan,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-04,19:45,Monisa Nayak,Kathak - Group - Dhaara,T.T. Krishnamachari Auditorium
2026-01-05,09:30,Divya Hoskere,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-05,11:00,Avijit Das,Kuchipudi,T.T. Krishnamachari Auditorium
2026-01-05,12:30,Vidhya Subramanian,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-05,18:00,P. Praveen Kumar,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-05,19:45,Dr. Sheela Unnikrishnan's Sridevi Nrithyalaya,Bharatanatyam - Group - Ekadasa Vishnum,T.T. Krishnamachari Auditorium
2026-01-06,09:30,P.V. Adithya,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-06,11:00,Vidhun Kumar,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-06,12:30,K.P. Rakesh,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-06,18:00,Priyadarshini Govind,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-06,19:45,Sharmila Biswas,Odissi - Group - Murta Maheswara : A Dance-Theatre - Musical show,T.T. Krishnamachari Auditorium
2026-01-07,09:30,Lekha Prasad,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-07,11:00,Harinie Jeevitha,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-07,12:30,Pavitra Bhatt,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-07,18:00,G. Narendra,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-07,19:45,Jigyasa Giri's Devaniya,Kathak - Group - DIIS - Dancing Illusions in Stillness,T.T. Krishnamachari Auditorium
2026-01-08,09:30,K. R. Manasvini,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-08,11:00,Shweta Prachande,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-08,12:30,Parshwanath S. Upadhye,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-08,18:00,Shijith Nambiar & Parvathy Menon,Bharatanatyam - Duo,T.T. Krishnamachari Auditorium
2026-01-08,19:45,"Sri Idagunji Mahaganapati Yakshagana Mandali, Keremane Shivananda Hegde",Yakshagana - Group - Dakshayajna,T.T. Krishnamachari Auditorium
2026-01-09,09:30,Kavya Muralidaran,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-09,11:00,Bhavajan Kumar,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-09,12:30,S. Yogesh Kumar,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-09,18:00,Vaibhav Arekar,Bharatanatyam,T.T. Krishnamachari Auditorium
2026-01-09,19:45,Nrityagram,Odissi - Group,T.T. Krishnamachari Auditorium
