Date,Time,Artist(s),Instruments/Details,Venue
2025-12-16,08:00,Students of Advanced School of Carnatic Music,Music Performance,The Music Academy Madras
2025-12-16,08:20,Dr. Arathi Rao,Traces of History: The raganga raga scheme followed by Muthuswami Dikshitar with special reference to Malavagaula and its janya-s,The Music Academy Madras
2025-12-16,09:20,Dr. Naresh Keerthi,The Sanskrit of Muthuswami Dikshitar,The Music Academy Madras
2025-12-17,08:00,Students of Advanced School of Carnatic Music,Music Performance,The Music Academy Madras
2025-12-17,08:20,Dr. Rajshri Ramakrishna,A Chronological study of Muthuswami Dikshitar's compositions in publications other than Sangita Sampradaya Pradarshini,The Music Academy Madras
2025-12-17,09:20,Dr. K. Srilatha,Recreating the musical library of Muthuswami Dikshitar,The Music Academy Madras
2025-12-18,08:05,Vidvan K. Bharat Sundar,Dikshitar and the North: Tracing Hindustani Threads in a Carnatic Fabric,The Music Academy Madras
2025-12-18,09:05,Dr. Rama Kausalya with Vidushi Madhuvanti Badri,The Vara Kritis of Muthuswami Dikshitar,The Music Academy Madras
2025-12-19,08:05,Dr. Sumithra Vasudev,Music of Dikshita Parampara composers,The Music Academy Madras
2025-12-20,08:05,Dr. R. Hemalatha,Vivadi Ragas as handled by Muthuswami Dikshitar,The Music Academy Madras
2025-12-20,09:05,"Vidvan Anil Srinivasan, Vidvan Sikkil Gurucharan & Vidvan Sayee Rakshith",The Nottusvaram-s of Muthuswami Dikshitar,The Music Academy Madras
2025-12-21,08:05,Vidushi Amritha Murali,A comparative study of ragas as handled by Tyagaraja and Dikshitar,The Music Academy Madras
2025-12-21,09:05,Dr. Chithra Madhavan and Dr. Gayathri Girish,Iconographic representations of Lord Shiva in Muthuswami Dikshitar's kritis,The Music Academy Madras
2025-12-22,08:05,Vidushi Shyamala Venkateswaran and disciples,Compositions on Muthuswami Dikshitar,The Music Academy Madras
2025-12-22,09:05,Sangita Kala Acharya Dr. R.S. Jayalakshmi,Chittaswaram-s for Muthuswami Dikshitar's compositions in the Sangita Sampradaya Pradarshini,The Music Academy Madras
2025-12-23,08:05,Vidvan K. Arun Prakash,Laya intricacies in the compositions of Muthuswami Dikshitar,The Music Academy Madras
2025-12-23,09:05,Dr. Nanditha Ravi,Sanskrit compositions in the Muthuswami Dikshitar's disciple lineage,The Music Academy Madras
2025-12-24,08:05,Vidvan G. Ravikiran and Dr. Madhusudhanan Kalaichelvan,Tiruvarur temple traditions as seen in Muthuswami Dikshitar's Tyagesa kriti-s,The Music Academy Madras
2025-12-24,09:05,Sangita Kala Acharya Rama Ravi,Pathanthara variations in Muthuswami Dikshitar's kriti-s,The Music Academy Madras
2025-12-25,08:05,Vidvan Ravi Rajagopalan,The chronology of Muthuswami Dikshitar's biographies,The Music Academy Madras
2025-12-25,09:05,Vidvan J. T. Jeyaraaj Krishnan & Vidushi Jaysri Jeyaraaj Krishnan,The Veena tradition of Muthuswami Dikshitar,The Music Academy Madras
2025-12-26,08:05,Sangita Kala Acharya Suguna Varadachari accompanied by Dr. Aishwarya Shankar and Sri. K. Arun Prakash on Mridangam,Scope for manodharma in Muthuswami Dikshitar kriti-s,The Music Academy Madras
2025-12-26,09:05,Vidushi Sumathi Mathiyazhagan,The Sarva Vadyam tradition at the Tiruvarur temple,The Music Academy Madras
2025-12-27,08:05,"Dr. Meenakshi (Sumathi) Krishnan with Ms. Snigdha Desiraju, Ms. Ragasudha, Ms. Nandhika, Sri Bharat Narayan & Sri Sivaramakrishnan (Students of Advanced School of Carnatic Music)",The Guruguha Vibhakti kriti-s of Muthuswami Dikshitar,The Music Academy Madras
2025-12-27,09:45,Dr. K. Dhinesh Kumar,The Tiruvarur Nagaswaram tradition as defined by Ramaswami Dikshitar,The Music Academy Madras
2025-12-28,08:05,Vidvan R. K. Shriramkumar,The Kamalamba Navavarana kriti-s of Muthuswami Dikshitar,The Music Academy Madras
2025-12-29,08:05,Sangita Kalanidhi Dr. S. Sowmya,Bhashanga Ragas as handled by Muthuswami Dikshitar,The Music Academy Madras
2025-12-29,09:05,Vidushi Urmila Satyanarayanan,Setting Muthuswami Dikshitar kriti-s to dance,The Music Academy Madras
2025-12-30,08:05,Dr. T. R. Aravindhan,Compositions of Muthuswami Dikshitar in Unpublished Manuscripts,The Music Academy Madras
2025-12-30,09:05,Sangita Kalanidhi T. M. Krishna,Muthuswami Dikshitar's Rudrapriya - One name multiple identities,The Music Academy Madras
2025-12-31,08:00,Winners in Devotional Music Competition,Devotional Music,The Music Academy Madras
2025-12-31,08:20,Prof Dr. C. A. Sreedhara,The evolution of the flute in Carnatic music - lecture to be held as a centenary tribute to Vidvan T. R. Mahalingam,The Music Academy Madras
2025-12-31,09:20,Vidvan Thanjavur Govindarajan in conversation with Lalitharam,The Vaar Tavil,The Music Academy Madras
2026-01-01,08:00,Runners up in Devotional Music Competition,Devotional Music,The Music Academy Madras
2026-01-01,08:25,Open House,,The Music Academy Madras
