Date,Time,Artist(s),Instruments/Details,Venue
2025-12-01,16:30,Swarathmika Srikanth,,Arkay Convention Center Mylapore
2025-12-01,18:30,Ashwath Narayanan,,Arkay Convention Center Mylapore
2025-12-02,16:30,Srirangam V Venkatanagarajan,,Arkay Convention Center Mylapore
2025-12-02,18:30,Gayathri Girish,,Arkay Convention Center Mylapore
2025-12-03,16:30,Hamzini Vytheeswaran,,Arkay Convention Center Mylapore
2025-12-03,18:30,S. Mahathi,,Arkay Convention Center Mylapore
2025-12-04,16:30,Lakshmi Priya,,Arkay Convention Center Mylapore
2025-12-04,18:30,Carnatica Brothers,,Arkay Convention Center Mylapore
2025-12-05,16:30,Shruthi S Bhat,,Arkay Convention Center Mylapore
2025-12-05,18:30,Sangeetha Bhakthi Samarpanam,,Arkay Convention Center Mylapore
2025-12-08,16:30,Jayshri Aravind,,Arkay Convention Center Mylapore
2025-12-08,18:30,Amritha Murali,,Arkay Convention Center Mylapore
2025-12-09,16:30,Sangeetha Swaminathan,,Arkay Convention Center Mylapore
2025-12-09,18:30,K S Vishnudev,,Arkay Convention Center Mylapore
2025-12-10,16:30,Jayalakshmi Shekar,,Arkay Convention Center Mylapore
2025-12-10,18:30,G Baby Sreeram,,Arkay Convention Center Mylapore
2025-12-11,16:30,B U Ganesh Prasad,,Arkay Convention Center Mylapore
2025-12-11,18:30,M Chandrashekaran,,Arkay Convention Center Mylapore
2025-12-12,16:30,Archana and Aarathi,,Arkay Convention Center Mylapore
2025-12-12,18:30,TV Gopalakrishnan,,Arkay Convention Center Mylapore
2025-12-13,16:30,Brindha Manickavasakan,,Arkay Convention Center Mylapore
2025-12-13,18:30,Dushyanth Sridhar,,Arkay Convention Center Mylapore
2025-12-14,16:30,SV Sahana,,Arkay Convention Center Mylapore
2025-12-14,18:30,Vidya Kalyanaraman,,Arkay Convention Center Mylapore
2025-12-15,16:30,Kiran Nivi,,Arkay Convention Center Mylapore
2025-12-15,18:30,Prince Rama Varma,,Arkay Convention Center Mylapore
2025-12-16,16:30,Sunil Gargyan,,Arkay Convention Center Mylapore
2025-12-16,18:30,Charumathi Raghuram,,Arkay Convention Center Mylapore
2025-12-17,16:30,Geetha Raja,,Arkay Convention Center Mylapore
2025-12-17,18:30,Nagai Muralidharan,,Arkay Convention Center Mylapore
2025-12-18,16:30,Archana and Samanvi,,Arkay Convention Center Mylapore
2025-12-18,18:30,Viji & Sriram Krishnan,,Arkay Convention Center Mylapore
2025-12-19,16:30,Suma Sudhindra,,Arkay Convention Center Mylapore
2025-12-19,18:30,Dr S Sundar,,Arkay Convention Center Mylapore
2025-12-20,16:30,R Surya Prakash,,Arkay Convention Center Mylapore
2025-12-20,18:30,O S Arun,,Arkay Convention Center Mylapore
2025-12-21,16:30,Ananya Ashok,,Arkay Convention Center Mylapore
2025-12-21,18:30,Chitravina Ravikiran,,Arkay Convention Center Mylapore
2025-12-22,16:30,J B Keerthana,,Arkay Convention Center Mylapore
2025-12-22,18:30,T N S Krishna,,Arkay Convention Center Mylapore
2025-12-23,16:30,Balu Masti,,Arkay Convention Center Mylapore
2025-12-23,18:30,Sriram Parasuram,,Arkay Convention Center Mylapore
2025-12-24,16:30,Ashok Subramaniam,,Arkay Convention Center Mylapore
2025-12-24,18:30,D Raghavachari,,Arkay Convention Center Mylapore
2025-12-25,16:30,Kiranavali,,Arkay Convention Center Mylapore
2025-12-25,18:30,Dr Chitra Madhavan,,Arkay Convention Center Mylapore
2025-12-26,16:30,Delhi Sundar Rajan,,Arkay Convention Center Mylapore
2025-12-26,18:30,Ravi Rajagopal,,Arkay Convention Center Mylapore
2025-12-27,16:30,Anahita and Apoorva,,Arkay Convention Center Mylapore
2025-12-27,18:30,Peccu Kutcheri,,Arkay Convention Center Mylapore
2025-12-28,16:30,Kruthi Vittal,,Arkay Convention Center Mylapore
2025-12-28,18:30,Jayachandran,,Arkay Convention Center Mylapore
2025-12-29,16:30,Yoga Vandana,,Arkay Convention Center Mylapore
2025-12-29,18:30,Talk on Flute Mali,,Arkay Convention Center Mylapore
2025-12-30,16:30,Srivathsan,,Arkay Convention Center Mylapore
2025-12-30,18:30,Sriram Parasuram,,Arkay Convention Center Mylapore
2025-12-31,16:30,Kalyanapuram Aravind,,Arkay Convention Center Mylapore
2025-12-31,18:30,Madhusudhanan Kaliselvan,,Arkay Convention Center Mylapore
