Date,Time,Artist(s),Instruments/Details,Venue
2025-12-25,17:00,Megha Suresh,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-25,18:15,Dr. Mathula Kishore Kumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-25,19:30,Vimmi B Eswar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-26,17:00,Nethra Nattami,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-26,18:15,Ushayini Seshan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-26,19:30,Sujatha Srinivasan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-27,15:45,Meghna Muralidharan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-27,17:00,Ashwini Manjunath,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-27,18:15,Athriya Krishnan Balaji,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-27,19:30,Meera Balasubramanian,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-28,10:00,Kayalvizhi Kabilan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-28,11:30,Leela Ganapati,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-28,17:00,Srividhya,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-28,18:15,Arya Giri,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-28,19:30,Vidya Sankaranarayanan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-29,17:00,Janani Aiyer,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-29,18:15,Nivedita Rethnakar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-29,19:30,Pranamya Suri,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-30,17:00,"Rithika Ashok, Anjali Ashok",,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-30,18:15,Dr. Shriya Srinivasan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-30,19:30,Srimathy Venkat,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-31,17:00,"Ranjani Rajendran, Kritika Ramesh, Isiri Datta",,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-31,18:15,Sahana Balu,,TAG DAKSHINAMURTHY HALL MYLAPORE
2025-12-31,19:30,Padmini Krishnamurthy,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-01,17:00,Vatsalya Narayan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-01,18:15,Shilpa Sethuraman,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-01,19:30,Poornashri Srivathsan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-02,17:00,Roshni Muthuswamy,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-02,18:15,Poorna Bhat,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-02,19:30,Bala Devi Chandrashekar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-03,17:00,"Anika Chebrolu, Anjani Chebrolu, Sahana Koushik",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-03,18:15,Anusha Kumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-03,19:30,Natyanjali School of Dance,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-04,17:00,"Keertana Murali, Vandhana Sarma",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-04,18:15,Rukshikaa Elankumaran,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-04,19:30,"Balagurunathan, Aparna Sharma, Hamsa, Mayura Chandramouleeswaran",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-05,17:00,"Pooja Sugam, Samiksha KM",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-05,18:15,Deepthi Ravichandran,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-05,19:30,Anuratha Swaminathan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-06,17:00,R. Sudar Mathi,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-06,18:15,Smt. Aarthi Narain,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-06,19:30,"Swamimalai Suresh, Durga Suresh & Mahathi Suresh",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-07,17:00,Kavya Ramaswamy,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-07,18:15,Preethi Anand,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-07,19:30,"Ranjana Vinodkumar, Sri Kalakshi School of Dance",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-08,17:00,Meera Ratnagiri,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-08,18:15,Ashwini Sam Paul Viswanathan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-08,19:30,"Jai Kishore Mosalikanti, Vani Mosalikanti, Sammohana Mosalikanti",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-09,17:00,Meghna Satishkumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-09,18:15,"Ananya Arora, Ahana Arora",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-09,19:30,Dr. Anupama Kylash,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-10,17:00,Akshara Balaji,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-10,18:15,Aishwarya Ananth Karthik,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-10,19:30,Gopika Varma,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-11,17:00,Aishwarya Iyer,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-11,18:15,Gayatri Subramanian,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-11,19:30,Renuka Srinivasan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-12,17:00,Kavya Ramesh,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-12,18:15,Harshini R,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-12,19:30,Girija Chandran,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-13,17:00,Vaishalee,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-13,18:15,Priyamvadha Krishnakumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-13,19:30,"H N Nandhini Suresh, Sri Sai Nrithyalaya",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-14,17:00,Sruthika P Nair,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-14,18:15,D Soumya Sarojini,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-14,19:30,Thiruveezhimizhalai Dr.Kanaka Krishna Prashanth,,TAG DAKSHINAMURTHY HALL MYLAPORE
