Date,Time,Artist(s),Instruments/Details,Venue
2025-12-11,16:00,Pazayavannai A.N. Somasundaram & Pallavada M. Mohan,Nadaswaram (Mangala Isai),R R Sabha Hall Mylapore
2025-12-11,17:30,Nalli Kuppuswami Chetti & A.R. Santhanakrishnan,Inauguration Function,R R Sabha Hall Mylapore
2025-12-11,18:30,Sivasri Skandaprasad & Group,Naama PrabhavAM,R R Sabha Hall Mylapore
2025-12-11,10:00,Srikrishnan V,Lec-Dem: Neela Ramgopal 90th Birth Anniversary,R R Sabha Hall Mylapore
2025-12-12,10:00,Dr. K R Seethalakshmi,Lec-Dem: Compositional style of Tevarams,R R Sabha Hall Mylapore
2025-12-12,13:15,Duddu V. Krithika Manasvini,,R R Sabha Hall Mylapore
2025-12-12,14:30,Rajeshwari Shankar,,R R Sabha Hall Mylapore
2025-12-12,16:00,Prasanna Venkatraman,,R R Sabha Hall Mylapore
2025-12-12,18:15,TNS Krishna,,R R Sabha Hall Mylapore
2025-12-13,10:00,Dr. Ulaganayaki Pazhani,Lec-Dem: Dr. U.Ve.Sa's contribution,R R Sabha Hall Mylapore
2025-12-13,13:15,Shreya Ravikumar,,R R Sabha Hall Mylapore
2025-12-13,14:30,Pathangi Bros,,R R Sabha Hall Mylapore
2025-12-13,16:00,Madurai Siva Ganesh,,R R Sabha Hall Mylapore
2025-12-13,18:15,Bharath Sundar,,R R Sabha Hall Mylapore
2025-12-14,10:00,Dr. Aravind Ranganathan,Lec-Dem: Malavagaula and its janyas,R R Sabha Hall Mylapore
2025-12-14,13:15,Kolkata S. Aishwarya,,R R Sabha Hall Mylapore
2025-12-14,14:30,Aditya Sreeram,,R R Sabha Hall Mylapore
2025-12-14,16:00,Shantala Subrmanyam,,R R Sabha Hall Mylapore
2025-12-14,18:15,Sanjay Subramanyam,,R R Sabha Hall Mylapore
2025-12-15,10:00,Dr. RS Jayalakshmi,Lec-Dem: Ettayapuram composers,R R Sabha Hall Mylapore
2025-12-15,13:15,Anirudh Raja,,R R Sabha Hall Mylapore
2025-12-15,14:30,Divya Yanmantra,,R R Sabha Hall Mylapore
2025-12-15,16:00,Hemige S. Prashanth,,R R Sabha Hall Mylapore
2025-12-15,18:15,Sriranjani Santhanagopalan,,R R Sabha Hall Mylapore
2025-12-16,10:00,Dr. Baby Sreeram,Lec-Dem: Sadguru Tyagarajar,R R Sabha Hall Mylapore
2025-12-16,13:15,Sai Govind V,,R R Sabha Hall Mylapore
2025-12-16,14:30,Smitha Sisters,,R R Sabha Hall Mylapore
2025-12-16,16:00,Iyer Brothers,,R R Sabha Hall Mylapore
2025-12-16,18:15,Pantula Rama,,R R Sabha Hall Mylapore
2025-12-17,10:00,Dr. R Hemalatha,Lec-Dem: Kalyani Chakra compositions,R R Sabha Hall Mylapore
2025-12-17,13:15,Lakshmi Vijayaraghavan,,R R Sabha Hall Mylapore
2025-12-17,14:30,Aarthi Ravichandran,,R R Sabha Hall Mylapore
2025-12-17,16:00,Kruthi Vittal,,R R Sabha Hall Mylapore
2025-12-17,18:15,Vignesh Ishwar,,R R Sabha Hall Mylapore
2025-12-18,10:00,Dr. Sriram Parasuram,Lec-Dem: Karnatik idiom for Hindustani Ragas,R R Sabha Hall Mylapore
2025-12-18,13:15,Raksha Mahalinkam,,R R Sabha Hall Mylapore
2025-12-18,16:00,Krithika Natarajan,,R R Sabha Hall Mylapore
2025-12-18,18:15,Sikkil Gurucharan,,R R Sabha Hall Mylapore
2025-12-19,10:00,Prof. Aravind Hebbar,Lec-Dem: Puzzles in Dasar Padams,R R Sabha Hall Mylapore
2025-12-19,14:30,S. Mahanya Siva,,R R Sabha Hall Mylapore
2025-12-19,16:00,Lavanya Roopakala,,R R Sabha Hall Mylapore
2025-12-19,18:15,Sashank Subramanyam,,R R Sabha Hall Mylapore
2025-12-20,14:30,Madhu V,,R R Sabha Hall Mylapore
2025-12-20,16:00,Shrihari Bhat N.H,,R R Sabha Hall Mylapore
2025-12-20,18:15,Rukmini Kalyanamu,,R R Sabha Hall Mylapore
2025-12-21,14:30,Brindha Manickavasagam,,R R Sabha Hall Mylapore
2025-12-21,16:00,Shraddha Kotte,,R R Sabha Hall Mylapore
2025-12-21,18:15,Carnatica Bros,,R R Sabha Hall Mylapore
2025-12-22,14:30,Jayasree Aravind,,R R Sabha Hall Mylapore
2025-12-22,16:00,Himaja Samraj,,R R Sabha Hall Mylapore
2025-12-22,18:15,Saketharaman,,R R Sabha Hall Mylapore
2025-12-23,14:30,Hamzini Vytheeshwaran,,R R Sabha Hall Mylapore
2025-12-23,16:00,Dhanya Dinesh Rudhrapatnam,,R R Sabha Hall Mylapore
2025-12-23,18:15,Sid Sriram,,R R Sabha Hall Mylapore
2025-12-24,14:30,Heramb & Hemanth,,R R Sabha Hall Mylapore
2025-12-24,16:00,Subhadra Sridharan,,R R Sabha Hall Mylapore
2025-12-24,18:15,Akkarai Sisters,,R R Sabha Hall Mylapore
2025-12-25,14:30,Aishwarya Shankar,,R R Sabha Hall Mylapore
2025-12-25,16:00,Abhishek Ravi Shankar,,R R Sabha Hall Mylapore
