Date,Time,Artist(s),Instruments/Details,Venue
2025-12-13,15:15,Students of The Tamilnadu Dr J Jayalalithaa Music and Fine Arts University,,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-13,16:00,Inaugural Function,,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-13,16:30,Vid. N. Ravikiran,Chitravina,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-13,19:00,,Sangeetha Bhakthi Samarpanam,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-14,10:30,Maadhu Balaji and his Crazy Team,"Crazy Premier League" (Drama),Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-14,15:00,Students of U Ve Dushyanth Sridhar,"Mana Nimmathi Tharum Gopalan" - Part 1 (Desika Daya),Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-14,16:30,Vid. Ramakrishnan Murthy,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-14,18:45,Vid. R.K.Shriramkumar & Kalaimamani Vid. Thiruvaarur Bakthavathsalam,Violin & Mridangam,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-15,16:30,U.Ve. Dushyant Sridhar with Vid. Anahita Ravindran & Vid. Apoorva Ravindran,Vocal duet,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-15,18:45,Vid. Kunnakudi M. Balamuralikrishnan,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-16,16:30,Papanasam Vid. Ashok Ramani,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-16,18:45,Vid. N. Vijay Siva (Support: Vid. Swaminathan S.),Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-17,16:30,Ms. Subhshree Thanikachalam,The Philosophy of Tamil Film Music,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-17,18:45,Vid. K. Bharat Sundar,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-18,16:30,Vid. Nagai R. Muralidharan (Support: Vid. Dr. Badrinarayanan),Violin,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-18,18:45,Vid. Abhishek Raghuram,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-19,16:30,Vid. Flute J.A.Jayant,Flute Ensemble,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-19,18:45,Vid. Ashwath Narayanan,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-20,10:30,Sri. Y. Gee Mahendra & Ms. YG Madhuvanthii,"PANJUMON" & "LIGHTS ON" (Drama),Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-20,16:30,Vid. Charumathi Raghuraman,Violin,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-20,18:45,Vid. Ramana Balachandhran,Veena,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-21,10:30,Dummies Drama,"Kapidwaja" (Drama),Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-21,15:00,Students of U Ve Dushyanth Sridhar,"Mana Nimmathi Tharum Gopalan" - Part 2 (Desika Daya),Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-21,16:30,Prince Rama Varma,Vocal,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-21,18:45,Vid. Anil Srinivasan; Vid. Sikkil C. Gurucharan; Sri. Madhan Karky,Piano; Vocal; Special Performance,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-22,16:30,Vid. Nirmala Rajasekhar,Veena / All Woman ensemble,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
2025-12-22,18:45,Vid. Rajhesh Vaidhya,Veena,Sri Sankara Vidhyashramam Mat. Hr. Sec. School Auditorium Chennai
