Date,Time,Artist(s),Instruments/Details,Venue
2025-12-18,14:00,Madhumitha Doraiswamy,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-18,15:00,Dr. S Nithyasree,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-18,16:30,Vasudha Keshav,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-18,19:00,Sandeep Narayanan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-19,14:00,"Rupa Ramanathan, Shreya R",,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-19,15:00,"Barghav Hariharan, Krupaa Lakshmni",,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-19,16:30,Papanasam Ashok Ramani,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-19,19:00,Ramakrishnamurthy,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-20,14:00,Madhuvanthy Athreya,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-20,15:00,Nandhika & Dheepika,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-20,16:30,J A Jayanth,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-20,19:00,Abishek Raghuram,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-21,14:00,Rajiv Ramakrishnan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-21,15:00,Iyer Sisters,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-21,16:30,Sunil Gargyan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-21,19:00,Lalgudi G JR Krishnan & Lalgudi Vijayalakshmi,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-22,14:00,Aathrayee Krishna,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-22,15:00,Bharath Narayanan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-22,16:30,Jayashree Vaidyanathan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-22,19:00,Sanjay Subramaniam,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-23,14:00,Anirudh Sethuraman,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-23,15:00,Pragadeesh Shanmuga Raja,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-23,16:30,Archana & Aarthi,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-23,19:00,Sikkil G Gurucharan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-24,14:00,Bhuvana A,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-24,15:00,Sriranjani Kaushik,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-24,16:30,G Ravikiran,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-24,19:00,Trichur Brothers,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,07:30,Sailesh Josyula,Devotional Music,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,08:30,Madhuvanthi Group,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,10:00,Sudha Seshayyan,Lec Dem,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,11:00,Dr. Raama Kowsalya,Lec Dem,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,12:00,Telugu Taruni Group,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,14:00,E R Anirudh,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,15:00,Madurai Sivaganesh,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,16:30,Vidya Kalayanaraman,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-25,19:00,Kunnakudi M Balamuralikrishna,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-26,14:00,Srijith Poosarla,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-26,15:00,Cuddalore Vikram Sai Prasad,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-26,16:30,Thoppur Sairam,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-26,19:00,Sid Sreeram,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-27,14:00,Swartimika,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-27,15:00,Bhavya Hari,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-27,16:30,Lalitha & Nandini,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-27,19:00,Palakkad Ramprasad,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-28,14:00,Delhi Sisters,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-28,15:00,J B Keerthana,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-28,16:30,A S Murali,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-28,19:00,N Vijay Siva,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,09:00,Dr. Premeela Gurumurthy,Lec Dem,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,10:00,Dr. Baby Sreeram,Lec Dem,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,11:30,Vishruthi Girish,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,14:00,Nanditha Kannan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,15:15,Maharajapuram Ganesh Viswanathan,,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,16:30,Shruti Vidhyashankar,Bharathanatyam,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
2025-12-29,18:00,Nada Gurukulam Cultural wing,Thematic Presentation,Ethiraja Kalyana Nilayam #87 TTK Road Alwarpet Chennai 600 018
