Date,Time,Artist(s),Instruments/Details,Venue
2025-12-21,16:15,Old Washermenpet A.N.Somasundram & Kalpakkam P.Poovarasan; Sivanvayal S.M.Rajarathinam & Gumudipoondi R.Jeeva,Nagaswaram; Thavul,Rajah Annamalai Mandram
2025-12-21,18:05,Justice Anand Venkatesh,Inauguration/Presides over function,Rajah Annamalai Mandram
2025-12-21,19:30,Dr. Seerkazhi G.Siva Chidambaram,Vocal,Rajah Annamalai Mandram
2025-12-21,19:30,Dr. Deva. Badrinarayanan,Violin,Rajah Annamalai Mandram
2025-12-21,19:30,Valangaiman K. Thiyagarajan,Mridangam,Rajah Annamalai Mandram
2025-12-22,08:30,S.Muthukumaran Odhuvar; S.Tharun Odhuvar,Vocal (Thirumurai Isai),Rajah Annamalai Mandram
2025-12-22,08:30,Sikkal Balasubramanian,Violin,Rajah Annamalai Mandram
2025-12-22,08:30,P.Chandru,Mridangam,Rajah Annamalai Mandram
2025-12-22,11:00,Tamilisai Sangam Tamil Isai Kaloori Students,"Idhudhano" (Tamil Isai),Rajah Annamalai Mandram
2025-12-22,14:00,Pondicherry P.Sambantha Gurukal; G. Sureshkumar; K.Madheswaran,Thirumurai Isai,Rajah Annamalai Mandram
2025-12-22,15:15,B.Sargurunatha Odhuvar,Vocal (Pann Isaiperaringnar),Rajah Annamalai Mandram
2025-12-22,15:15,Melakaveri K. Thiyagarajan,Violin,Rajah Annamalai Mandram
2025-12-22,15:15,K.Madheswaran,Mridangam,Rajah Annamalai Mandram
2025-12-22,15:15,Chennai A.S.Krishnan,Mridangam/Ghatam,Rajah Annamalai Mandram
2025-12-22,16:45,R.Athulkumar,Flute,Rajah Annamalai Mandram
2025-12-22,16:45,Dr. Thirumarugal S. Dinesh Kumar,Violin,Rajah Annamalai Mandram
2025-12-22,16:45,R.Akshayram,Mridangam,Rajah Annamalai Mandram
2025-12-22,16:45,Dr.K.R.Sivaramakrishnan,Kanjira,Rajah Annamalai Mandram
2025-12-22,18:30,S. Mahathi,Vocal,Rajah Annamalai Mandram
2025-12-22,18:30,Shratha Ravindran,Violin,Rajah Annamalai Mandram
2025-12-22,18:30,Ramakrishanan Neelamani,Mridangam,Rajah Annamalai Mandram
2025-12-22,18:30,Sarvesh Karthick,Rhythm Pad,Rajah Annamalai Mandram
2025-12-23,08:30,Vadapalani Arun Karthick Odhuvar; Tamilarasan Odhuvar,Vocal (Odhuvar),Rajah Annamalai Mandram
2025-12-23,08:30,Sikkal Balasubramanian,Violin,Rajah Annamalai Mandram
2025-12-23,08:30,P.Chandru,Mridangam,Rajah Annamalai Mandram
2025-12-23,14:00,Kumaravayalur Prof. Thirugnana. Balachandiran Odhuvar,Thirumurai Isai,Rajah Annamalai Mandram
2025-12-23,14:00,C.K.Vijay Ragavan,Violin,Rajah Annamalai Mandram
2025-12-23,14:00,Ajith Sridhar,Mridangam,Rajah Annamalai Mandram
2025-12-23,15:15,Palani. P.Shanmuga Sundara Desigar,Vocal (Pann Isaiperaringnar),Rajah Annamalai Mandram
2025-12-23,15:15,Neyveli Siva. Rajapathi,Thirumurai Isai (Supporting),Rajah Annamalai Mandram
2025-12-23,15:15,Kanchipuram Subramoni,Violin,Rajah Annamalai Mandram
2025-12-23,15:15,Thiruvannamalai T.M.Sivakumar,Mridangam,Rajah Annamalai Mandram
2025-12-23,16:45,Vishwas Hari,Vocal,Rajah Annamalai Mandram
2025-12-23,16:45,Akshay Ram,Violin,Rajah Annamalai Mandram
2025-12-23,16:45,Shree Sainath,Mridangam,Rajah Annamalai Mandram
2025-12-23,18:30,Dr.Jayanthi Kumaresh,Veenai,Rajah Annamalai Mandram
2025-12-23,18:30,Thumkur Ravishankar,Mridangam,Rajah Annamalai Mandram
2025-12-23,18:30,Pramath Kiran,Thabala/Mugarsingh,Rajah Annamalai Mandram
2025-12-24,08:30,Revathi Krishanamurthy,Thirumurai Isai,Rajah Annamalai Mandram
2025-12-24,08:30,M.S.Martin,Key Board,Rajah Annamalai Mandram
2025-12-24,14:00,Hariharan Babu; Jaipraksh Narayanan,Thirumurai Isai,Rajah Annamalai Mandram
2025-12-24,15:15,Kudandhai V.Lakshmanan,Vocal (Pann Isaiperaringnar),Rajah Annamalai Mandram
2025-12-24,15:15,Melakaveri K.Thiyagarajan,Violin,Rajah Annamalai Mandram
2025-12-24,15:15,Thiruvannamalai T.M.Sivakumar,Mridangam,Rajah Annamalai Mandram
2025-12-24,16:45,Anahitha & Apoorva,Vocal,Rajah Annamalai Mandram
