Date,Time,Artist(s),Instruments/Details,Venue
2025-12-19,17:30,N/A,Inauguration Ceremony,Bharata Kalakshetra Auditorium
2025-12-19,18:00,Kalakshetra Foundation,Sita Swayamvaram (Dance Drama),Bharata Kalakshetra Auditorium
2025-12-20,18:00,Kalakshetra Foundation,Rama Vanagamanam (Dance Drama),Bharata Kalakshetra Auditorium
2025-12-21,18:00,Kalakshetra Foundation,Paduka Pattabhishekam (Dance Drama),Bharata Kalakshetra Auditorium
2025-12-22,18:00,Pt. Ulhas Kashalkar,Hindustani Vocal,Bharata Kalakshetra Auditorium
2025-12-23,18:00,Smt. Pallavi Krishnan,Mohiniattam,Bharata Kalakshetra Auditorium
2025-12-23,19:30,Shri Parshwanath Upadhye and team,Abha,Bharata Kalakshetra Auditorium
2025-12-24,18:00,SIFAS Productions Ltd,Putran: The Rising Son,Bharata Kalakshetra Auditorium
2025-12-25,18:00,Ganesh Kumaresh,Violin Duet Concert,Bharata Kalakshetra Auditorium
2025-12-26,18:00,Kalakshetra Foundation,Sabari Moksham (Dance Drama),Bharata Kalakshetra Auditorium
2025-12-27,18:00,Kalakshetra Foundation,Choodamani Pradhanam (Dance Drama),Bharata Kalakshetra Auditorium
2025-12-28,17:30,N/A,Closing Ceremony,Bharata Kalakshetra Auditorium
2025-12-28,18:00,Kalakshetra Foundation,Maha Pattabhishekam (Dance Drama),Bharata Kalakshetra Auditorium
