Date,Time,Artist(s),Instruments/Details,Venue
2025-12-12,11:00,Dhanya Dinesh Rudrapatnam,"Vocals; Vignesh Thyagarajan (Violin); Sunaada Krishna Amai (Mridangam)",Krishna Gana Sabha
2025-12-12,13:00,Aditya Narayanan.S,"Vocals; Sruti Sarathy (Violin); Kishore Ramesh (Mridangam); K.R. Sivaramakrishna (Kanjira)",Krishna Gana Sabha
2025-12-12,16:00,Sandeep Narayan,"Vocals; V.V. Murari (Violin); Neyveli B. Venkatesh (Mridangam); Dr. S. Karthick (Ghatam)",Krishna Gana Sabha
2025-12-12,19:00,A. Lakshmanaswamy,Bharatanatyam,Krishna Gana Sabha
2025-12-13,11:00,E.R. Anirudh,"Vocals; Haritha Narayanan (Violin); Burra Sriram (Mridangam)",Krishna Gana Sabha
2025-12-13,13:00,Shreya Devnath & Vishaal R Sapuram,"Violin & Chitravina Duet Concert; Praveen Sparsh (Mridangam); K.R. Sivaramakrishna (Kanjira)",Krishna Gana Sabha
2025-12-13,16:00,G. Ravikiran,"Vocals; B. Ananthakrishnan (Violin); B. Sivaraman (Mridangam); Trichy Krishnaswamy (Ghatam)",Krishna Gana Sabha
2025-12-13,19:00,Meenakshi Srinivasan,Bharatanatyam,Krishna Gana Sabha
2025-12-14,11:00,R. Sai Vignesh,"Vocals; V. Bargava Vignesh (Violin); R. Akshay Ram (Mridangam)",Krishna Gana Sabha
2025-12-14,13:00,Anahita & Apoorva,"Vocal Duet; VSP Gayatri Sivani (Violin); SJ Arjun Ganesh (Mridangam); Payyanur T. Govinda Prasad (Morsing)",Krishna Gana Sabha
2025-12-14,16:00,Abhishek Raghuram & J.B. Sruti Sagar,"Vocals & Flute Duet Concert; Patri Satishkumar (Mridangam); B. Shree Sundar Kumar (Kanjira)",Krishna Gana Sabha
2025-12-14,19:00,G. Narendra,Bhaandhavyam - Ekahaarya Lasyam Solo Bharatanatyam,Krishna Gana Sabha
2025-12-15,11:00,Veda Praveen Sandilya Machiraju,"Vocals; Madurai M. Vijaya Ganesh (Violin); Ranjani Siddhanthi Venkatesh (Mridangam)",Krishna Gana Sabha
2025-12-15,13:00,J.B. Keerthana,"Vocals; Vaibhav Ramani (Violin); Sai Raghavan (Mridangam); V. Sai Subramaniam (Morsing)",Krishna Gana Sabha
2025-12-15,16:00,Sampagodu S. Vighnaraja,"Vocals; Dr. M. Narmadha (Violin); Mannargudi A. Easwaran (Mridangam); Alathur T. Rajaganesh (Kanjira)",Krishna Gana Sabha
2025-12-15,19:00,Methil Devika,Mohiniattam,Krishna Gana Sabha
2025-12-16,07:00,Brahmashri Vittaldas Jayakrishna Dikshithar Maharaj,Harinamasankeerthanam & Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-16,11:00,Kamala Deepthi,"Vocals; Saketha Panthula (Violin); Nanda Kashyap (Mridangam)",Krishna Gana Sabha
2025-12-16,13:00,Archana Rao,"Vocals; Rangapriya Shankaranarayana (Violin); Aswini Srinivasan (Mridangam); Surmukh Karanath (Kanjira)",Krishna Gana Sabha
2025-12-16,16:00,Lalgudi GJR Krishnan & Lalgudi Vijayalakshmi,"Violin Duet Concert; Dr. Trichy Sankaran (Mridangam); V. Suresh (Ghatam)",Krishna Gana Sabha
2025-12-16,19:00,Mythily Prakash,Bharatanatyam,Krishna Gana Sabha
2025-12-17,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-17,11:00,Sanjana Harikumar,"Vocals; Shreelakshmi S. Bhat (Violin); Nikshith Puttur (Mridangam)",Krishna Gana Sabha
2025-12-17,13:00,Vivek Sadasivam,"Vocals; Sruti Sarathy (Violin); N.C. Bharadwaj (Mridangam); H. Prasanna (Ghatam)",Krishna Gana Sabha
2025-12-17,16:00,N.J. Nandini,"Vocals; R. Raghul (Violin); Praveen Sparsh (Mridangam); K.R. Sivaramakrishna (Kanjira)",Krishna Gana Sabha
2025-12-17,19:00,Purvadhanashree,Vilasini Natyam,Krishna Gana Sabha
2025-12-18,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-18,11:00,Anirudh Subramanian,"Vocals; Bhargav Tumkur (Violin); A. Rohith (Mridangam)",Krishna Gana Sabha
2025-12-18,13:00,Bangalore Brothers M.B. Hariharan & S. Ashok,"Vocal Duet; Keshav Mohankumar (Violin); Tumkur Ravishankar (Mridangam); Madipakkam Murali (Ghatam)",Krishna Gana Sabha
2025-12-18,16:00,N. Vijay Siva,"Vocals; Dr. R. Hemalatha (Violin); K.V. Prasad (Mridangam); V. Anirudh Athreya (Kanjira)",Krishna Gana Sabha
2025-12-18,19:00,Sheela Unnikrishnan's Sridevi Nrithyalaya,"Siva Nava Bhakthi (Choreography: Dr. Sheela Unnikrishnan)",Krishna Gana Sabha
2025-12-19,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-19,11:00,Dr. Sudha RS Iyer & Dr. Srividhya RS Iyer,"Violin Duet; Rohit Prasad (Mridangam); S. Venkatraman (Kanjira)",Krishna Gana Sabha
2025-12-19,13:00,Bharathi Ramasubban,"Vocals; C.S. Chinmayi (Violin); Aduthurai Guruprasadh (Mridangam); T. Govindaprasad (Morsing)",Krishna Gana Sabha
2025-12-19,16:00,Gayathri Venkataraghavan,"Vocals; Mysore V. Srikanth (Violin); R. Sankaranarayanan (Mridangam); S. Krishna (Ghatam)",Krishna Gana Sabha
2025-12-19,19:00,Sathyanarayana Raju,Bharatanatyam,Krishna Gana Sabha
2025-12-20,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-20,19:00,Anitha Guha,BHAJE Concept & Choreography,Krishna Gana Sabha
2025-12-21,19:00,Parshwanath Upadhye & Shruti Gopal & Adithya PV,MAYA (Bharatanatyam),Krishna Gana Sabha
2025-12-23,09:30,Rangan Brothers Raghuveer & Narayan,"Vocal Duet; Dr. Sudha RS Iyer (Violin); Mysore L. Vadiraj (Mridangam)",Krishna Gana Sabha
2025-12-23,11:05,Dr. S.V. Sahana,"Veena Solo; H.S. Sudhindra (Mridangam); Adambakkam K. Sankar (Ghatam)",Krishna Gana Sabha
2025-12-23,12:30,Kalavathy Avadhoot,"Vocals; Mysore Srikanth (Violin); Anoor Ananthakrishna Sharma (Mridangam); B.S. Purushotham (Kanjira)",Krishna Gana Sabha
2025-12-23,19:00,Urmila Sathyanarayanan,Bharatanatyam,Krishna Gana Sabha
2025-12-24,11:00,V. Deepika & V. Nandhika,"Vocal Duet; Mantha Sriramya (Violin); B.N. Kasinadh (Mridangam)",Krishna Gana Sabha
2025-12-24,14:00,Kruthi Vittal,"Vocals; Trivandrum Sampath (Violin); B. Sivaraman (Mridangam); Trivandrum D. Rajagopal (Kanjira)",Krishna Gana Sabha
2025-12-24,19:00,Vidhya Subramaniam,Bharatanatyam,Krishna Gana Sabha
2025-12-25,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-25,10:45,Sudha Raghunathan,"Vocals; L. Ramakrishnan (Violin); Patri Satishkumar (Mridangam); S. Sunil Kumar (Kanjira)",Krishna Gana Sabha
2025-12-25,16:00,Sid Sriram,"Vocals; H.N. Bhaskar (Violin); J. Vaidyanathan (Mridangam); N. Guruprasad (Ghatam)",Krishna Gana Sabha
2025-12-25,19:00,Rama Vaidyanathan,Bharatanatyam,Krishna Gana Sabha
2025-12-26,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-26,12:50,Abhishek Ravishankar,"Vocals; Thirucherai Karthik (Violin); Sai Nivaelthan Ravichandhra (Mridangam)",Krishna Gana Sabha
2025-12-26,13:10,Bhargavi Venkatram,"Vocals; Madan Mohan (Violin); Akshay Anand (Mridangam); S. Venkatraman (Kanjira)",Krishna Gana Sabha
2025-12-26,16:00,S. Saketaraman,"Vocals; H.K. Venkatram (Violin); Tiruvarur Vaidyanathan (Mridangam); N. Guruprasad (Ghatam)",Krishna Gana Sabha
2025-12-26,19:00,Uma Sathyanarayanan,Bharatanatyam,Krishna Gana Sabha
2025-12-27,07:00,Vittaldas Jayakrishna Dikshithar,Maha Bhaktha Vijayam,Krishna Gana Sabha
2025-12-27,11:00,RP Shravan,"Vocals; Gyandev Pappu (Violin); Sai Raghavan (Mridangam)",Krishna Gana Sabha
