Date,Time,Artist(s),Instruments/Details,Venue
2025-12-07,13:00,Various Participants,This Ability Fair and This Able contest,Mylapore Fine Arts Club
2025-12-07,15:00,Archana Sridharan and Rajeshwari Harish,Inclusive presentation - Bharatiya-One World Choir,Mylapore Fine Arts Club
2025-12-07,15:50,Natesan,Invocation,Mylapore Fine Arts Club
2025-12-07,16:00,Clarke School for the Deaf and team,Mouna Ragam-Sounds of Silence,Mylapore Fine Arts Club
2025-12-07,16:30,Various Recipients,Awards Ceremony,Mylapore Fine Arts Club
2025-12-07,17:15,Anil Srinivasan and team,Into the light - Special presentation,Mylapore Fine Arts Club
2025-12-07,18:15,S.R. Krishnamurthy,Carnatic Vocal Concert,Mylapore Fine Arts Club
2025-12-07,19:15,EPL Muthukumaran and party,Mani Laya Pravaham - Tala Vadya Kutcheri,Mylapore Fine Arts Club
2025-12-24,08:30,Rohan Musti,Flute,
2025-12-24,09:45,Srilatha Nikshith,Veena,
2025-12-24,11:30,Harish Venkatraman,Vocal,
2025-12-24,13:00,Bagya Vivekanandan and Lucrezia Maniscotti,Maniscotti Lec-Dem (from Italy),
2025-12-24,14:15,Yuko Matoba,Veena (from Japan),
2025-12-24,15:45,Uma Ranganathan,Vocal,
2025-12-24,17:15,Swaratmika Srikanth,Vocal,
2025-12-24,19:00,Dr. R. Suryaprakash,Vocal,
2025-12-25,08:30,Ixchel,Violin,
2025-12-25,09:45,N.S. Kamakshi,Vocal,
2025-12-25,11:30,Ria Kaushik,Vocal,
2025-12-25,13:00,P. Doss and party,Group Performance,
2025-12-25,14:15,Aditya Venkatesh,Keyboard,
2025-12-25,15:45,Vaibav Ramu,Vocal,
2025-12-25,17:15,Kanmoni Sasi and Akshaya Hari duo,Vocal,
2025-12-25,19:00,J.A. Jayant,Flute,
2025-12-26,08:30,Natesan S,Vocal,
2025-12-26,09:45,Padmashri Dr. Gayatri Sankaran,Vocal,
2025-12-26,11:30,Barghavi Chandrasekar,Vocal,
2025-12-26,13:00,Disciples of J.A. Jayant & Priyamvada S,Group Flute & Vocal,
2025-12-26,14:15,Dhanya Dinesh Rudrapatnam,Vocal,
2025-12-26,15:45,Nathalie Ramirez (Mexico) & Ananthalakshmi P,Flute & Violin Jugal Bandi,
2025-12-26,17:15,Rishabh Kaushik,Vocal,
2025-12-26,19:00,Ramana Balachandran,Veena,
2025-12-27,08:30,Naveen Padmanabhan,Vocal,
2025-12-27,09:45,Chinmaya sisters,Vocal,
2025-12-27,11:30,Vignesh & Aparna Thyagarajan duo,Violin,
2025-12-27,14:15,Shakthi Muralidharan & Nanditha Kannan,Duo,
2025-12-27,15:45,Uma Ramakrishnan,Vocal,
2025-12-27,17:15,Karaikkal Jaishankar & Gokul Namagiripettai duo,Vocal,
2025-12-27,19:00,Sherthalai Rengantha Sharma,Vocal,
2025-12-28,08:30,Vinita Kaushik,Vocal,
2025-12-28,09:45,Srivaralaxmi Maya & Rishabh Kaushik duo,Keyboard,
2025-12-28,11:30,Dr. Lakshminarayanan; Priya Parthasarathy; Archana Murali,Vocal,
2025-12-28,13:00,Students of TNJJMFAU,Group Performance,
2025-12-28,14:15,Preethi Sethuraman,Vocal,
2025-12-28,15:45,Niranjan Dindhodi & Prithvi Harish duo,Vocal,
2025-12-28,17:15,Pathangi Bros (Dhruv and Raghav),Vocal,
2025-12-28,19:00,G. Ravikiran,Vocal,
2025-12-14,10:00,Unspecified Artist,Concert Series,Madhuradhwani (ArkayCC)
2025-12-20,10:00,Unspecified Artist,Concert Series,Madhuradhwani (ArkayCC)
2025-12-15,15:00,Unspecified Artist,Concert Series,Anusham Fine Arts
2025-12-16,15:00,Unspecified Artist,Concert Series,Anusham Fine Arts
2025-12-17,15:00,Unspecified Artist,Concert Series,Anusham Fine Arts
2025-12-18,15:00,Unspecified Artist,Concert Series,Anusham Fine Arts
2025-12-19,15:00,Unspecified Artist,Concert Series,Anusham Fine Arts
2025-12-23,18:00,Unspecified Artist,Concert Series,YADA Narada Gana Sabha
2025-12-23,19:30,Unspecified Artist,Concert Series,YADA Narada Gana Sabha
2025-12-30,09:00,Unspecified Artist,Concert Series,Carnatica and Sri Parthasarathy Swami Sabha
2026-01-05,12:45,Unspecified Artist,Concert Series,Carnatica and Sri Parthasarathy Swami Sabha
2026-01-08,12:45,Unspecified Artist,Concert Series,Carnatica and Sri Parthasarathy Swami Sabha
2026-01-02,17:00,Unspecified Artist,Concert Series,Hamsadhwani Sabha
