Date,Time,Artist(s),Instruments/Details,Venue
2025-12-17,18:00,Sri. T.N. Suresh - Dr. Thiruvaarur Bakthavathsalam - Dr. Kanchana Janardhanan,Inauguration & Title Conferral (Sangeetha Kala Nipuna / Nrithya Kala Nipuna),The Mylapore Fine Arts Club
2025-12-17,19:15,Roja Kannan's Bharatha Natyalaya,Bharathanatyam (Bhaje Pandurangam),The Mylapore Fine Arts Club
2025-12-18,18:30,Papanasam Ashok Ramani - R. Raghul - R. Sankaranarayanan - Trichy Krishnaswamy,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-19,09:00,Vaibhav Prakash - Sudarshan Prasanna - Angiras Mahadevan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-19,10:15,Pranav Kikkeri - Prithvi Bhaskar - Pranav Krishna,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-19,16:00,M.K. Sankaran Namboodhri - V.V. Ravi - Melakaveri K. Balaji,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-19,18:30,S. Saketharaman - H.N. Bhaskar - Sai Giridhar - Vazhapally Krishnakumar,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-20,09:00,Aadhya Sridharan - Somanath Dandibhotla - Aswath Karunakaran,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-20,10:15,Shradha Ganesh - Bhargav Tumkur - Pranav Subramanya,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-20,16:00,R. Ashwathnarayanan - Sruthi Sarathy - A. Rohith,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-20,18:30,S. Sowmya - Embar S. Kannan - Neyveli R. Narayanan - G. Chandrasekara Sharma,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-21,09:00,Manasa Subramanian - Pranav Praveen - Anirudh Suresh,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-21,10:15,Vaibhav Ramu - Sameth Sitaraman - Sriram Natarajan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-21,16:00,B. Vijayagopal - Rishabh Ranganathan - Melakaveri K. Balaji,Flute & Accompaniments,The Mylapore Fine Arts Club
2025-12-21,18:30,Akkarai Sisters (S. Subhalakshmi & S. Somalatha) - Sruthi Sarathy - M.V. Chandrasekar - N. Guruprasad,Vocal Duet & Accompaniments,The Mylapore Fine Arts Club
2025-12-22,09:00,Surya Ganesan & Sathya Ganesan - Srihari Vittal - Myan Sudarshan,Vocal Duet & Accompaniments,The Mylapore Fine Arts Club
2025-12-22,10:15,Sruthi Ramesh - Srinath Hariharan - Navneeth Gopinath,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-22,16:00,Vignesh Ishwar - H.N. Bhaskar - K. Arunprakash,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-22,18:30,Nisha Rajagopalan - V.V.S. Murari - S.J. Arjun Ganesh - G. Chandrasekara Sharma,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-23,09:00,Dhrithi Balaji - Tejas Murali - Anirudh Ganesan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-23,10:15,Dr. Sanjay Subramanian - Sahana Sriram - Ashwin Balachandran,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-23,16:00,Chinmaya Sisters (Uma & Radhika) - Sanjith Narayanan - Neyveli Skandasubramaniam - Sowmiyanarayanan,Vocal Duet & Accompaniments,The Mylapore Fine Arts Club
