Date,Time,Artist(s),Instruments/Details,Venue
2025-12-15,09:00,"Thirumeignanam T.P.N. Ramanathan, Pandamangalam P. G. Yuvaraj","(Nagaswaram) - Thanjavur R. Govindarajan (Thavil), Udumalpet V. Manigandan (Thavil)","T.T. Krishnamachari Auditorium"
2025-12-15,09:00,"Tiruvannamalai P. Balaganesan, Tiruvannamalai B. Bagesri, Tiruvannamalai B. Kanimozhi (Nagaswaram Trio)","(Nagaswaram) - Tiruneermalai B. Mani (Thavil), Eguvarpalayam E. V. Ganapathy (Thavil)","T.T. Krishnamachari Auditorium"
2025-12-15,11:45,"Abhishek Ravishankar","(Vocal) - Bhargav Tumkur (Violin), Sriram Srinivasan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-15,13:30,"S. Adithyanarayanan","(Vocal) - V. S. Gokul (Violin), L. Sudarsan Srinivas (Mridangam), Sunaad Anoor (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-15,17:00,"A.R. Rahman","Chief Guest - Inauguration","T.T. Krishnamachari Auditorium"
2025-12-15,19:00,"K. Arun Prakash & Ensemble","""Nadarnava"" - Mylai M. Karthikayan (Nagaswaram), Sujith S. Naik (Flute), Vishaal R. Sapuram (Chitraveena), Charulatha Chandrasekar (Veena), Sandeep Ramachandran (Violin), N. Madan Mohan (Violin), Sruthi Sarathy (Violin), Sayee Rakshith (Violin), Vignesh Krishnamurthy (Vocal), Dhanush Anantharaman (Vocal), Nanditha Kannan (Vocal), Shakthi Muralidaran (Vocal), V. Anirudh Athreya (Kanjira), N. Guruprasad (Ghatam), Sai Subramaniam (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-16,09:00,"Dr. Gayathri Girish","(Vocal) - Dr. M. Narmadha (Violin), Poongulam S. Subramanian (Mridangam), M. Gururaj (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-16,11:45,"Siddharth Prakash","(Vocal) - Palakkad G. Kailasapathy (Violin), Aswini Srinivasan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-16,13:30,"Vani Ramamurthi","(Vocal) - Shreya Devnath (Violin), Karthick Ganeshraman (Mridangam), Bharadwaj R. Sathavalli (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-16,16:00,"Nisha Rajagopalan","(Vocal) - Dr. Nishanth Chandran (Violin), Trivandrum V. Balaji (Mridangam), S. Shri Sainath (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-16,18:45,"Amritha Murali","(Vocal) - R. K. Shriramkumar (Violin), N. Manoj Siva (Mridangam), C. P. Vyasavittala (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-17,09:00,"Trivandrum Dr. G. Baby Sreeram","(Vocal) - Aditi Krishnaprakash (Violin), S. V. Ramani (Mridangam), R. Raman (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-17,11:45,"V. Krupaa Lakshmi","(Vocal) - Shiva Ramamurthi (Violin), S. Vignesh (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-17,13:30,"Dr. N. Jayakrishnan Unni","(Vocal) - Visvesh Chandrasekar (Violin), S. Karthick Narayanan (Mridangam), S. Hari Kishore (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-17,16:00,"Ramana Balachandhran","(Veena) - Anantha R. Krishnan (Mridangam), Dr. Suresh Vaidyanathan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-17,18:45,"R. Ashwath Narayanan","(Vocal) - B. U. Ganesh Prasad (Violin), Sangita Kalanidhi Umayalpuram K. Sivaraman (Mridangam), B. S. Purushotham (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-18,09:00,"Dr. Subhashini Parthasarathy","(Vocal) - Dr. Usha Rajagopalan (Violin), Kumbakonam K. Swaminathan (Mridangam), Sukanya Ramgopal (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-18,11:45,"R. Lakshmipriya","(Vocal) - M. P. Krithik Koushik (Violin), K. P. Arjun Sundaram (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-18,13:30,"B. J. Madhuri Kaushik","(Vocal) - Haritha Narayanan (Violin), S. Kavichelvan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-18,16:00,"A. S. Murali","(Vocal) - Nagai R. Muralidharan (Violin), Trichur C. Narendran (Mridangam), N. Rajaraman (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-18,18:45,"Sangita Kalanidhi T. M. Krishna","(Vocal) - Akkarai S. Subhalakshmi (Violin), B. Sivaraman (Mridangam), Chandrasekhara Sharma (Ghatam), V. Anirudh Athreya (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-19,09:00,"Rithvik Raja","(Vocal) - Sruthi Sarathy (Violin), K. Arun Prakash (Mridangam), Madipakkam A. Murali (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-19,11:45,"Charulatha Chandrasekar","(Veena) - Sarvesh Karthick (Mridangam), Murali Varadharajan (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-19,13:30,"Archana & Aarathi","(Vocal) - Nagercoil K. Anand (Violin), T. Nikshith (Mridangam), Kurichithanam Ananthakrishnan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-19,16:00,"Madurai T.N.S. Krishna","(Vocal) - Dr. H. K. Venkatram (Violin), Trichy B. Harikumar (Mridangam), Dr. S. Karthick (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-19,18:45,"Sangita Kalanidhi Dr. S. Sowmya","(Vocal) - Embar S. Kannan (Violin), Neyveli R. Narayanan (Mridangam), Udupi S. Sreedhar (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-20,09:00,"K. Bhaskaran","(Flute) - B. K. Raghu (Violin), Mannarkoil J. Balaji (Mridangam), Adambakkam K. Sankar (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-20,11:45,"Deepthi Suresh","(Vocal) - Rishabh Ranganathan (Violin), R. Aravind Srikanth (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-20,13:30,"Akshay Padmanabhan","(Vocal) - Sandeep Ramachandran (Violin), S. Gomathishankar (Mridangam), Shinu Gopinath (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-20,16:00,"Aishwarya Vidhya Raghunath","(Vocal) - Dr. R. Hemalatha (Violin), B. C. Manjunath (Mridangam), Bhagyalakshmi M. Krishna (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-20,18:45,"K. Bharat Sundar","(Vocal) - M. Rajeev (Violin), Patri Satishkumar (Mridangam), N. Guruprasad (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-21,09:00,"Shertallay Dr. K. N. Renganatha Sharma","(Vocal) - M. A. Sundareswaran (Violin), Palladam R. Ravi (Mridangam), Tirunakkara K. R. Rethish (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-21,11:45,"Sushma Somasekharan","(Vocal) - Sreelakshmi S. Bhat (Violin), Ambur U. Padmanabhan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-21,13:30,"J. B. Keerthana","(Vocal) - Delhi R. Sridhar (Violin), G. S. Nagaraj (Mridangam), Vishnu Kammath (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-21,16:00,"Dr. Pantula Rama","(Vocal) - M.S.N. Murthy (Violin), V. V. Ramanamurthy (Mridangam), Nerkunam Dr. S. Sankar (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-21,18:45,"Malladi Brothers - Sreeramaprasad & Dr. Ravikumar","(Vocal) - L. Ramakrishnan (Violin), Sangita Kalanidhi Trichy Sankaran (Mridangam), Chandrasekhara Sharma (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-22,09:00,"Vishaal R. Sapuram","(Chitraveena) - M. Vijay (Violin), Chidambaram S. Balashankar (Mridangam), Trivandrum D. Rajagopal (Kanjira), Bangalore B. Rajasekar (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-22,11:45,"C. S. Keshava Chandra","(Flute) - S. Subhashree (Violin), Sunaada Krishna Amai (Mridangam), Shamith S. Gowda (Ghatam)","T.T. Krishnamachari Auditorium"
