Date,Time,Artist(s),Instruments/Details,Venue
2025-12-23,08:15,M.S.Martin and his Disciples,Keyboard Ensemble,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,09:00,Hrishikesh Chary & Priyanka Chary,Veena Duo,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,10:30,Shankar Ramani,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,12:30,Neha Murthy,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,13:45,Siddhartha J,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,15:00,Padmashree Srinivasan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,16:30,Dr. Suma Sudhindra,Veena,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,18:30,Tadepally Vid. Lokanatha Sharma & Dr. Suma Sudhindra,Honouring Function,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-23,19:00,S. Saindhvi & Vinaya Karthik Rajan,"Vocal Duet with ""Viprahar Band""","Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,09:00,Vignesh Ravichandran,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,10:30,Madurai N. Sivaganesh,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,12:45,Aditi Anand,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,14:00,Vasanth Ranganathan,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,15:15,Rhea Rajesh,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,17:00,Bangalore Brothers (M.B. Hariharan & S. Ashok),Vocal Duet,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-24,19:00,Shertallay Dr. K.N. Renganatha Sharma,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
2025-12-25,09:00,Sowmya Subramanian,Vocal,"Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004"
