Date,Time,Artist(s),Instruments/Details,Venue
2025-12-24,15:30,Ariyathurai G Udayakumar & Sriperumbudur N Vijayakrishnan,Mangala Isai-Nadaswaram,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-24,15:30,KST Prasanth Sairam & Vedaranyam VL Harish,Nadapallava - Thavil,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-24,17:30,Arjun Sambasivan & Narayanan & Nagarcoil Anand & Palayamkottai Guru Raghavendra & Sai Subramanian,Keyboard Violin Mridangam Morsing Fusion (Following Inauguration),Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,09:15,Anish Neervannan,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,10:45,S N Sasanka,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,11:00,Prameela Mandayam,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,12:00,Vignesh & Aparna,Violin Duet,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,13:00,Priya Balaraman,Veena,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,14:45,Kamala Deepthi,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,16:30,Sruthi Varsha & Shri Haripriya,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-25,18:30,Palghat Ramprasad,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-26,09:15,Surya Ganesan & Satya Ganesan,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-26,12:15,Uma Ranganathan,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-26,14:45,Gayatri Mani,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-26,16:30,Vignesh,Guitar,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-26,18:30,D Balakrishna & Srinivasa Prasanna,Veenai Duet,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-27,09:15,Srinithyaa Parthasarathy,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-27,10:45,Krishna Palya,Veenai,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-27,12:15,Chinmayi Palyie,Flute,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-27,14:45,Madura Sriram,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-27,16:30,Vaishnavi Anand,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-27,18:30,Rajhesh Vaidhya & JA Jayanth,Winds and Strings - Veenai & Flute,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-28,09:15,Manasa Subramanian,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-28,10:45,Rhea Rajesh,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
2025-12-28,12:15,Sahana Renganathan,,Sri Ganapathi Sachchidananda Ashram Hall Baby Nagar Velachery
