Date,Time,Artist(s),Instruments/Details,Venue
2025-12-08,14:00,Aadithyadev V. Punnayarkulam,Vocal; Sivateja Mallajosyula - Violin; Aduthurai Guruprasadh - Mridangam; Sumukh Karanth - Khanjira,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-08,15:30,Arjun & Sri Narayanan,Keyboard Duet; Srihari Vittal - Violin; Sabareesh G. Sreenivas - Mridangam; Sai Bharat - Khanjira,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-08,17:15,Supriya Raja,Vocal; Haritha Narayanan - Violin; J.P. Suriya Nambisan - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-08,19:00,Dhanush Anantharaman,Vocal; Sivateja Mallajosyula - Violin; S. Kavichelvan - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-09,13:00,A. Aishwarya,Vocal; R. Narasiman - Violin; Mukundhan Samraj - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-09,14:00,Preeti Sethuraman,Vocal; Shreelakshmi Bhat - Violin; J.P. Suriya Nambisan - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-09,15:30,Shakthi Muralidharan,Vocal; Gayathri Vibhavari - Violin; Sarvajit Krishna - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-09,17:15,Veena Venkataramani & Shraddha Ravindran,Veena & Violin; R Akshay Ram - Mridangam; Hariharasubramaniam - Ghatam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-09,19:00,Ashwin Bhogendra,Vocal; V.S.P. Gayatri Sivani - Violin; Vazhappally T.S. Satheesh Kumar - Mridangam; G. Ganapathy - Ghatam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-10,13:00,Aditya Sridhar,Vocal; Bargava Vignesh - Violin; Abhinav Kailasam - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-10,14:00,Himaja Samraj,Vocal; Saketh Pantula - Violin; Jayendra Kumar - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-10,15:30,Vishnupriya,Vocal; Sriramya Mantha - Violin; Pichai Vinith - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-10,17:15,Ranjani Sivakumar,Vocal; Chidambaram G. Badrinath - Violin; B.S. Prashanth - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-10,19:00,S. Mahadevan,Vocal; V.S.P. Gayatri Sivani - Violin; Karun Salvadi - Mridangam; Sumukh Karanth - Khanjira,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-11,13:00,Madhuvanthy Athreya,Abhangs and Bhajans,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-11,14:00,Abhirama Bode,Vocal; R.S. Sudha lyer - Violin; Aduthurai Guruprasadh - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-11,15:30,Hari Kishan,Vocal; Prithvi Bhaskar - Violin; Chirag Mani - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-11,17:15,Archana & Samanvi,Vocal Duet; Madan Mohan - Violin; Prajwal Bharadwaj - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-11,19:00,Jayashree Aravind,Veena; J. Vaidyanathan - Mridangam; Ravichandran - Ghatam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-12,13:00,N. Haripriya,Veena; A.P. Mahizhan - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-12,14:00,Amritha Venkat,Vocal; Sumedha Mahesh - Violin; Chirag Mani - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-12,15:30,Prithvi Bhaskar,Vocal; Krithik Kaushik - Violin; Nandan Kashyap - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-12,17:15,Archana Murali,Vocal; R. Srikriti - Violin; Pranav Subramanyan - Mridangam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
2025-12-12,19:00,Niranjan Dindodi,Vocal; Vibav Ramani - Violin; Trichy S.G. Venkatraman - Mridangam; Ramya Ramesh - Ghatam,"Bharatiya Vidya Bhavan Mini Hall, Mylapore, Chennai"
