Date,Time,Artist(s),Instruments/Details,Venue
2025-12-16,17:00,Inauguration,By Srimad Paramahamsethyadhi Sri Madhurakavi Ramanuja Jeeyar Swami - Awards Presentation,Vidya Bharathi Mylapore
2025-12-16,18:45,Chitravina N. Ravikiran & S. Shashank,Chitravina & Flute Duet - Patri Satish Kumar (Mridangam) - B. Shree Sundar Kumar (Kanjira),Vidya Bharathi Mylapore
2025-12-17,08:30,Dr. Sriram Parasuram,Lect. Demo. "Understanding Rare Ragas of Dikshitar from his Kritis",Vidya Bharathi Mylapore
2025-12-17,10:00,Sunil R. Gargyan,Vocal - H.N. Bhaskar (Violin) - Sai Raghavan (Mridangam) - Chandrashekara Sharma (Ghatam),Vidya Bharathi Mylapore
2025-12-17,12:30,Madhuri Kaushik,Vocal - Krithik Kowshik (Violin) - Nandan Kashyap (Mridangam),Vidya Bharathi Mylapore
2025-12-17,14:00,Vivek Moozhikulam,Vocal - Vignesh Thyagarajan (Violin) - Burra Sriram (Mridangam) - Sowmya Narayanan (Ghatam),Vidya Bharathi Mylapore
2025-12-17,16:00,Cherthala Dr. K.N. Renganatha Sharma,Vocal - Embar S. Kannan (Violin) - Tanjavur Murugabhoopathi (Mridangam) - H. Sivaramakrishnan (Ghatam),Vidya Bharathi Mylapore
2025-12-17,18:30,Priya Sisters (Shanmukhapriya & Haripriya),Vocal - B. Ananthakrishnan (Violin) - V.V. Ramanamurthy (Mridangam) - B.S. Purushotham (Kanjira),Vidya Bharathi Mylapore
2025-12-18,08:30,Vid. Rama Ravi & Vid. Suguna Varadachary,Lect. Demo. "The Effective use of Kalapramanam in Musical Expressions" - Supported by Dr. Nanditha Ravi & Aishwarya Shankar,Vidya Bharathi Mylapore
2025-12-18,10:00,Jayashree Vaidyanathan,Vocal - Thirumarugal Dinesh (Violin) - Mannikudi Chandrasekar (Mridangam) - H. Sivaramakrishnan (Ghatam),Vidya Bharathi Mylapore
2025-12-18,12:30,Abhishek Ravishankar,Vocal - M. Siva Teja (Violin) - Suriya Nambisan (Mridangam) - G. Ganapathy (Ghatam),Vidya Bharathi Mylapore
2025-12-18,14:00,Abilash Giriprasad,Vocal - Keerthana Sankar (Violin) - B.S. Prashanth (Mridangam) - M. Phanindra (Ghatam),Vidya Bharathi Mylapore
2025-12-18,16:00,Prince Rama Varma,Vocal - Avaneeswaram Vinu (Violin) - B. Harikumar (Mridangam) - Dr. S. Karthick (Ghatam),Vidya Bharathi Mylapore
2025-12-18,18:30,Dr. Pantula Rama,Vocal - MSN Murthy (Violin) - Kotipalli Ramesh (Mridangam) - Harish Chandra (Kanjira),Vidya Bharathi Mylapore
