Date,Time,Artist(s),Instruments/Details,Venue
2025-12-19,16:30,"Vid. Vidya Kalyanaraman; Vid. VV Srinivasa Rao; Vid. SJ Arjun Ganesh; Vid. Trichy Murali","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-19,18:45,"Udayalur Kalyanaraman Bhagavathar","Namasankeerthanam","The Madras Sanskrit College"
2025-12-20,16:30,"Dr. Nanditha Ravi; Vid. M.A. Krishnaswamy; Vid. N. Manoj Siva; Vid. Sathish Gowtham","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-20,18:45,"Vid. Delhi P. Sundararajan; Vid. V.V. Ravi; Vid. Tiruvarur Vaidyanathan; Vid. Udupi Balakrishnan","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-21,16:30,"Vid. Sruthi Sagar; Vid. VSP Gayatri Sivani; Vid. B. Ganapathyraman","Flute; Violin; Mridangam","The Madras Sanskrit College"
2025-12-21,18:45,"Iyer Brothers (Vid. Ramnath Iyer & Vid. Gopinath Iyer); Vid. Mavelikara Balachandran; Vid. Ravi Balasubramaniam","Veena Duet; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-22,16:30,"Vid. Sowmya Acharya; Vid. Sahana Sriram; Vid. Burra Sriram; Vid. Samyuktha Sreeram","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-22,18:45,"Vid. Malladi Suribabu; Dr. Nishanth Chandran; Vid. Sai Raghavan; Vid. Udupi Srikanth","Vocal; Violin; Mridangam; Khanjira","The Madras Sanskrit College"
2025-12-23,16:30,"Vid. Dharini Kalyanaraman; Vid. Shraddha Ravindran; Vid. Mumbai Rohit Prasad; Vid. Sai Bharath","Vocal; Violin; Mridangam; Khanjira","The Madras Sanskrit College"
2025-12-23,18:45,"Mysore Vid. Manjunath & Vid. Sumanth Manjunath; Vid. Patri Sathish Kumar; Vid. Giridhar Uduppa","Violin Duet; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-24,16:30,"Vid. Srirangam Venkatnagarajan; Vid. S.R. Rajashree; Vid. Vijay Ganesh; Shamit S. Gowda","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-24,18:45,"Vid. B.V. Balasai & Vid. U.P. Raju; Vid. Mannargudi A. Easwaran; Dr. V. Suresh","Flute & Mandolin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-25,16:30,"Vid. Vasudha Ravi & Vid. Savita Sreeram (Sant Pravah); Vid. B.V. Raghavendra Rao; Vid. V. Samyuktha; Sri M.S. Venkatasubramanian; Vid. N. Sundar","Vocal (Glory of our Saints); Violin; Harmonium; Mridangam; Tabla & Morsing","The Madras Sanskrit College"
2025-12-25,18:45,"Vid. Rajhesh Vaidhya & Party","Veena","The Madras Sanskrit College"
2025-12-26,16:30,"Vid. Yaso Ponnuthurai (Shakthi Strings and Beats); Vid. Padma Shankar; Vid. Lakshmi Rajasekar; Vid. Ramya Ramesh","Veena; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-26,18:45,"Vid. Vittal Ramamurthy & Vid. V.V.S. Murari; Vid. Sai Niveithhan & Vid. Sai Sarangan","Violin & Viola Duet; Double Mridangam","The Madras Sanskrit College"
2025-12-27,16:30,"Dr. Sanjay Subramanian; Vid. Gyandev Pappu; Vid. Puttur Nikshith; K. Ranganathan","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-27,18:45,"Hyderabad Brothers (Vid. Raghavachari); Dr. Keerthana Shankar; Vid. Nirmal Narayan; Vid. H. Sivararamakrishnan","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-28,16:30,"Vid. Krithika Natarajan; Vid. M. Vijay; Vid. B. Ganapathyraman; Vid. Sai Subramaniam","Vocal; Violin; Mridangam; Morsing","The Madras Sanskrit College"
2025-12-28,18:45,"Dr. N.J. Nandini; Dr. Jyotsna Srikanth; Vid. Trivandrum Balaji; Vid. Paravoor Gopakumar","Vocal; Violin; Mridangam; Morsing","The Madras Sanskrit College"
2025-12-29,16:30,"Vid. Archana & Vid. Aarathi; Vid. Madan Mohan; Vid. Aduthurai Guruprasadh; Vid. Hari Kishore","Vocal Duet; Violin; Mridangam; Khanjira","The Madras Sanskrit College"
2025-12-29,18:45,"Vid. R.S. Jayalakshmi & Kum. Charulatha Chandrasekhar; Vid. Akshay Ananthapadmanabhan; Vid. Sumukh Karanth","Veena & Veena Support; Mridangam; Khanjira","The Madras Sanskrit College"
2025-12-30,16:30,"Vid. Aishwarya Shankar; Vid. Sruti Sarathy; Vid. Kallidaikuruchi Sivakumar; Vid. S. Krishna","Vocal; Violin; Mridangam; Ghatam","The Madras Sanskrit College"
2025-12-30,18:45,"Vid. R.K. Padmanabha; Vid. S.R. Mahadeva Sharma; Vid. Mannargudi A. Easwaran; Vid. Cleveland Balu","Vocal; Violin; Mridangam; Khanjira","The Madras Sanskrit College"
