Date,Time,Artist(s),Instruments/Details,Venue
2025-12-03,18:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Narada Gana Sabha
2025-12-18,19:00,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Krishna Gana Sabha
2025-12-20,19:15,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Sri YGP Auditorium
2026-01-01,18:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Vani Mahal
2026-01-08,18:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Narada Gana Sabha
2026-01-10,19:30,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Bharatiya Vidya Bhavan
2026-01-15,19:15,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Mylapore Fine Arts
2026-02-01,19:15,Sridevi Nrithyalaya,Siva Nava Bhakthi (Dance Drama),Kapaleeshwarar Kovil
2025-12-22,19:15,Sridevi Nrithyalaya,Srinivasa Kalyanam (Dance Drama),Sri YGP Auditorium
2026-01-05,19:30,Sridevi Nrithyalaya,Ekadasa Vishnum (Dance Drama),Music Academy
2025-12-29,19:30,Sridevi Nrithyalaya,Bhakthi Sanmargam (Thematic Presentation),Ethiraj Kalyana Mandapam
2025-12-30,19:15,Sridevi Nrithyalaya,Bhakthi Sanmargam (Thematic Presentation),Bapalal Bhavan
