Date,Time,Artist(s),Instruments/Details,Venue
2025-12-28,18:30,"Akkarai Sisters S. Subhalakshmi and S. Sornalatha","Violin Duet Concert; Tanjore T.R.Govindarajan (Violin), Bangalore Arjun Kumar (Mrudangam), N. Guruprasad (Ghatam)","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2025-12-29,18:30,"J.A.Jayanth","Flute Concert; Vittal Ramamurthy (Violin), Vani Kala Sudhakara Srimushnam V Raja Rao (Mrudangam), K.V.Gopalakrishnan (Kanjira)","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2025-12-30,18:30,"Vishaka Hari","Sangeetha Upanyasam on 'ARANGAN ARUL'; C.S.Chinmayi (Violin), Vijay Natesan (Mrudangam), Trichy S Krishnaswamy (Ghatam)","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2025-12-31,18:30,"Ramakrishnan Murthy","Vocal Concert; Vani Kala Nipuna L. Ramakrishnan (Violin), Vani Kala Nipuna N.C.Bharadwaj (Mrudangam), Vazhappally R. Krishnakumar (Ghatam)","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-01,18:30,"Students of Sridevi Nrithyalaya","'SIVA NAVA BHAKTHI'; Concept & Screenplay Vani Kala Nipuna Smt. Shobha Korambil, Lyrics - Dr S Raghuram, Music - Vani Kala Sudhakara Sri Embar S Kannan, Choreography - Vani Kala Sudhakara Dr.Sheela Unnikrishnan","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-02,18:30,"Vani Kala Sudhakara Srekala Bharath & Thejas","'UTHAMA DEIVANGAL' a thematic group Bharatanatyam feature on Jai Santoshi Maa Shirdi Saibaba & Swami Ayyappan","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-03,18:30,"Student of Sri Sai Nrithyalaya / Vani Kala Nipuna Smt. H N Nandhini Suresh","'RAMAM MANOHARAM MANOHARAM RAMAM PART 2' (based on ramayanam)","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-04,18:30,"Vani Kala Sudhakara Dr. Srinidhi Chidambaram","Thematic margam 'DAASARATHI'","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-05,18:30,"Roja Kannan's Bharatha Natyalaya","'THEERA VINAI THEERKUM THIRUCHENDUR' - a thematic group production","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-06,18:30,"Disciples of Dr.S.Divyasena","'PALLANDU PALLANDU' a unique dance presentation; Music Composed by T.H.Thiyagarajan and K. Ganesan, Concept, Direction and Dance Choreographed by - Dr. S. Divyasena","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-07,19:00,"Anithaguha's Bharathanjali","'MAHADEVAM MAHASENAM BHAJE'; Lyrics & Music Dr PR Venkatasubramian, Concept & Choreography: Vani Kala Sudhakara Smt. Anitha Guha","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-08,18:30,"Saila Sudha Academy / Disciples of Vani Kala Sudhakara S.P.Sailaja","Group Bharathanatyam 'SIVA DRUHSTI'","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-09,18:30,"United Visuals / Vani Kala Sudhakara 'TV' Varadharajen","'SANGEETHA MUMMOORTHIGAL'; Concept: VSV, Dialogues: C.V.Chandramohan & TV Varadharajen, Music: 'Padmashri Awardee' Bombay Jayashri Ramnath","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-10,18:30,"Komal Theatre / Dharini Komal","'DRAUPATHI' - A Mega historical play; Script & Direction - Dharini Komal","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-11,18:30,"Stage Creations / Vani Kala Sudhakara Sri Kathadi Ramamoorthy","'YAATHIRAI' by Vani Kala Sudhakara Sreevathson","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-12,18:30,"Crazy creations / Maadhu balaji and his Crazy team","'CRAZY PREMIER LEAGUE' by Vani Kala Sudhakara Crazy mohan (Best scenes from Crazy Mohan s plays)","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-13,18:30,"Mali's Stage / Vani Kala Sudhakara Kudanthai Sri Mali","'KANNAN VANDHA NERAM' -Based on Belief and attitude","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-14,18:30,"Kalaasindhu School of Performing Arts, Sindhu Shyam and Disciples","'BHAVAYAMI RAGHURAMAM' (Swathi Tirunal Krithi); Choreography: Dr.Sasirekha Raammohan","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
2026-01-15,18:30,"Renjith_Vijna and ensemble","'VRAJAM BHAJE' reminiscing vrindavan","SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM"
